Experience_ID,Candidate_ID,Employment_Title,Experience_Employment_Type,Employment_Organisation,Employment_I_Am_Currently_Working,Employment_Start_Month,Employment_Start_Year,Employment_End_Month,Employment_End_Year,Employment_Location,Employment_Location_Type,Employment_Description,Employment_Skills
1,1,Research Assistant,Part-Time,Healthcare Systems Engineering Institute of Northeastern University HSyE,Yes,July,2023,,,"Boston, Massachusetts, United States",,,"Python Programming Language,Full Stack Development"
2,1,Data Science Intern,Internship,Palladium - Make it Possible,No,September,2023,November,2023,"Washington, District of Columbia, United States ",,,"Python, Machine Learning"
3,1,Instructional Assistant,Part-Time,Northeastern University Information Technology Services ,No,September,2022,September,2023,"Boston, Massachusetts, United States",,,
4,1,Software Engineer,Full-Time,Accenture,No,June,2020,February,2021,"Mumbai, Maharashtra, India",,,
5,1,Associate Software Engineer,Full-Time,Accenture,No,June,2018,June,2020,"Mumbai, Maharashtra, India",,,
6,1,Research Intern,Full-Time,Indian Institute of Technology,No,December,2017,May,2018,"New Delhi, Delhi, India",,,
7,2,Data Science Intern,Internship,Pantechlearning,No,September,2023,November,2023,,Remote,"collected, cleaned, and analyzed data using Python and key libraries such as Pandas and Numpy, developed and evaluated machine learning models, created visualizations with Matplotlib and Seaborn. Also worked on a end-to-end project for house price prediction and customer segmentation, collaborating with team members to present findings and insights.","Python, Pandas, Machine Learning, Tableau, Microsoft Power BI"
8,2,Student Internship,Internship,Cisco,No,July,2023,August,2023,,,Utilized Cisco Packet Tracer for designing and simulating contemporary network topologies,
9,2,Web Master,Part-Time,Sri SaiRam Engineering College,No,October,2021,January,2023,"Chennai, Tamil Nadu, India",On-Site,"IEEE Student Branch: Designed and developed the Society's website, creating a user-friendly platform and maintaining regular updates to ensure the website remained current. Supported the promotion of the Society through social media platforms such as Instagram, LinkedIn, and VTools as part of the role. Created and curated engaging content for the Society's website and social media channels, ensuring clarity, consistency, and alignment with the organization's voice. Designed posters for numerous events using Adobe Photoshop. Utilized strong communication skills to effectively collaborate with team members and enhance public speaking skills by compering all the events that I Organized.","Adobe Photoshop, Web Design, Social Media, Poster Media, Communication, Community Outreach"
10,3,Graduate Teaching Assistant,Part-Time,Northeastern University,No,September,2024,December,2024,"Boston, Massachusetts, United States",On-Site,"Advance Data Sciences and Architectures: Guided students in mastering advanced Machine Learning and Data Science concepts, ensuring a deeper understanding of complex methodologies. Provided targeted mentorship through hands-on problem-solving sessions, helping students navigate data architecture, model optimization, and real-world applications. Supported students in resolving Generative AI GenAI challenges, offering insights into LLMs, model fine-tuning, and AI-driven problem-solving. Additionally, designed and guided students through a capstone project leveraging GenAI, helping them build portfolio-ready projects that showcased their ability to apply cutting-edge AI techniques to real-world problems. Focused on enhancing technical proficiency and critical thinking, preparing students for industry applications and career advancement in AI and data science. Guided students in mastering advanced Machine Learning and Data Science concepts, ensuring a deeper understanding of complex methodologies. Provided targeted mentorship through hands-on problem-solving sessions, helping students navigate data architecture, model optimization, and real-world applications. Supported students in resolving Generative AI GenAI challenges, offering insights into LLMs, model fine-tuning, and AI-driven problem-solving. Additionally, designed and guided students through a capstone project leveraging GenAI, helping them build portfolio-ready projects that showcased their ability to apply cutting-edge AI techniques to real-world problems. Focused on enhancing technical proficiency and critical thinking, preparing students for industry applications and career advancement in AI and data science.","Coaching and Mentoring, Causal Inference, Natural Language Processing NLP,  Machine Learning, Gen AI"
